"(52.0, 384.0)","(70.0, 502.0)","(117.0, 279.0)","(117.0, 587.0)","(223.0, 614.0)","(226.0, 233.0)","(319.0, 562.0)","(321.5, 238.0)","(383.0, 445.0)","(386.0, 334.0)","(388.0, 389.0)"
"(52.0, 384.0)","(70.0, 502.0)","(117.0, 279.0)","(117.0, 587.0)","(223.0, 614.0)","(226.0, 232.0)","(319.0, 562.0)","(321.5, 238.0)","(382.0, 445.0)","(386.5, 334.0)","(388.0, 389.5)"
"(52.0, 384.0)","(68.0, 501.0)","(117.0, 279.0)","(117.0, 587.0)","(223.0, 613.0)","(226.0, 231.0)","(319.0, 562.5)","(323.0, 238.0)","(382.0, 446.0)","(386.0, 334.0)","(387.0, 390.0)"
"(55.0, 384.0)","(68.0, 501.0)","(120.0, 277.5)","(116.0, 585.0)","(223.0, 613.0)","(228.0, 230.0)","(317.0, 561.5)","(323.0, 237.0)","(382.0, 445.0)","(387.5, 334.0)","(386.0, 389.5)"
"(58.0, 384.0)","(68.0, 501.0)","(123.0, 279.0)","(117.0, 585.0)","(222.0, 613.0)","(232.0, 229.0)","(317.0, 561.5)","(327.0, 236.0)","(382.0, 446.0)","(388.0, 335.0)","(388.0, 389.5)"
"(60.0, 385.0)","(67.0, 501.0)","(127.0, 279.0)","(115.0, 585.0)","(221.0, 612.0)","(234.0, 228.5)","(317.0, 562.0)","(329.0, 236.0)","(382.5, 447.0)","(390.0, 336.0)","(388.0, 390.0)"
"(61.0, 384.0)","(66.0, 500.0)","(127.0, 279.0)","(115.0, 583.0)","(221.0, 612.0)","(235.0, 230.0)","(317.0, 562.0)","(330.0, 237.0)","(384.0, 447.0)","(390.0, 336.0)","(389.0, 391.0)"
"(62.0, 383.0)","(64.0, 498.5)","(129.0, 279.0)","(113.0, 582.0)","(220.0, 610.0)","(235.0, 228.0)","(315.0, 562.0)","(331.0, 237.0)","(382.5, 447.0)","(390.5, 336.0)","(390.0, 391.0)"
"(64.0, 383.0)","(63.0, 499.0)","(129.5, 277.0)","(112.0, 581.0)","(219.0, 610.0)","(238.0, 228.0)","(315.0, 562.0)","(333.0, 237.0)","(382.5, 447.5)","(392.0, 336.0)","(390.0, 392.0)"
"(65.0, 383.0)","(62.0, 497.0)","(131.0, 277.0)","(111.0, 581.0)","(219.0, 610.0)","(239.0, 228.0)","(315.0, 562.0)","(333.0, 237.5)","(383.0, 449.0)","(392.0, 337.0)","(390.0, 392.0)"
"(67.0, 383.0)","(62.0, 497.0)","(132.5, 277.0)","(111.0, 581.0)","(218.0, 610.0)","(240.0, 228.0)","(314.0, 562.0)","(335.0, 238.0)","(384.0, 449.0)","(392.5, 338.0)","(390.0, 392.0)"
