"(158.0, 847.0)","(247.0, 638.0)","(379.0, 439.0)","(532.0, 274.5)","(734.0, 170.0)","(958.0, 149.0)","(1177.0, 194.5)","(1364.0, 302.0)","(1519.0, 460.0)","(1614.5, 660.0)","(1652.0, 865.0)"
"(158.0, 847.0)","(247.0, 638.0)","(379.0, 439.0)","(532.0, 275.0)","(734.0, 169.0)","(958.0, 148.5)","(1177.0, 194.0)","(1364.0, 302.0)","(1519.0, 459.0)","(1615.0, 660.0)","(1651.0, 865.0)"
"(159.0, 847.0)","(247.0, 638.0)","(379.0, 439.0)","(532.0, 275.0)","(733.0, 170.0)","(957.0, 149.0)","(1175.0, 194.0)","(1363.0, 302.0)","(1518.0, 459.0)","(1614.5, 660.0)","(1651.0, 865.5)"
"(158.0, 845.0)","(247.0, 638.0)","(379.0, 438.0)","(532.0, 274.0)","(734.0, 170.0)","(958.0, 148.5)","(1176.0, 194.0)","(1364.0, 302.0)","(1519.0, 459.0)","(1614.0, 660.0)","(1651.0, 865.0)"
"(159.0, 847.0)","(247.0, 638.5)","(379.0, 438.0)","(533.0, 274.5)","(735.0, 170.0)","(958.0, 149.0)","(1176.0, 194.0)","(1364.0, 303.0)","(1518.0, 458.0)","(1614.0, 660.0)","(1651.0, 864.0)"
"(159.0, 847.0)","(248.0, 636.0)","(379.5, 438.0)","(533.0, 275.0)","(734.0, 169.5)","(959.0, 148.0)","(1176.0, 194.0)","(1364.0, 302.0)","(1519.0, 458.0)","(1614.0, 659.0)","(1651.0, 864.0)"
"(159.0, 847.0)","(247.0, 637.0)","(379.5, 439.0)","(533.0, 274.5)","(735.0, 170.0)","(957.0, 149.0)","(1176.0, 194.0)","(1364.0, 303.0)","(1517.0, 458.0)","(1614.0, 660.0)","(1650.0, 864.0)"
"(159.0, 847.0)","(247.0, 637.0)","(378.5, 439.0)","(533.0, 275.0)","(737.0, 170.0)","(956.0, 149.0)","(1176.0, 194.0)","(1364.0, 303.0)","(1517.0, 459.0)","(1615.0, 659.0)","(1650.0, 864.0)"
"(159.0, 847.0)","(248.0, 637.0)","(378.5, 438.0)","(533.0, 274.0)","(737.0, 169.5)","(958.0, 149.0)","(1176.0, 194.0)","(1364.0, 303.0)","(1518.0, 458.0)","(1615.0, 659.0)","(1650.0, 864.0)"
"(159.0, 847.0)","(248.0, 637.0)","(380.0, 438.0)","(533.0, 274.0)","(736.0, 169.0)","(958.0, 148.0)","(1175.0, 195.0)","(1364.0, 302.0)","(1518.0, 458.0)","(1615.0, 659.0)","(1650.0, 864.0)"
"(159.0, 847.0)","(248.0, 637.0)","(380.0, 438.0)","(533.0, 274.0)","(737.0, 169.0)","(958.0, 148.5)","(1176.0, 194.0)","(1364.0, 302.0)","(1519.0, 458.0)","(1615.5, 659.0)","(1651.0, 862.0)"
"(160.0, 847.0)","(248.0, 637.0)","(379.0, 438.0)","(533.0, 274.0)","(737.0, 169.0)","(958.0, 148.5)","(1175.0, 194.0)","(1364.0, 302.0)","(1519.0, 458.0)","(1614.0, 659.0)","(1650.0, 863.0)"
"(160.0, 847.0)","(248.0, 637.0)","(379.0, 438.0)","(532.0, 275.0)","(736.0, 170.0)","(959.0, 149.0)","(1176.0, 194.0)","(1364.0, 301.5)","(1519.0, 458.0)","(1614.5, 659.0)","(1650.0, 863.0)"
"(159.0, 845.0)","(248.0, 636.0)","(380.0, 438.0)","(532.0, 274.0)","(736.0, 169.5)","(958.0, 148.0)","(1174.0, 194.0)","(1364.0, 301.0)","(1518.0, 458.0)","(1613.0, 659.0)","(1650.0, 863.0)"
"(159.0, 845.0)","(248.0, 636.0)","(380.0, 438.0)","(532.0, 275.0)","(735.0, 168.0)","(958.0, 147.5)","(1175.0, 194.0)","(1364.0, 301.0)","(1518.0, 457.0)","(1615.0, 659.0)","(1650.0, 863.0)"
"(159.0, 845.0)","(248.0, 636.0)","(380.0, 439.0)","(532.0, 274.0)","(736.0, 168.5)","(957.0, 148.0)","(1175.0, 194.0)","(1363.0, 302.0)","(1518.0, 457.0)","(1614.5, 660.0)","(1650.0, 863.0)"
"(159.0, 846.0)","(248.0, 636.0)","(380.0, 439.0)","(532.0, 274.0)","(735.0, 169.0)","(959.0, 148.0)","(1176.0, 194.0)","(1364.0, 301.5)","(1518.0, 458.0)","(1614.5, 658.0)","(1650.0, 864.0)"
"(159.0, 845.0)","(247.0, 637.0)","(378.5, 439.5)","(532.0, 274.0)","(736.0, 168.5)","(959.0, 147.0)","(1177.0, 194.0)","(1365.0, 301.0)","(1519.0, 458.0)","(1615.0, 659.0)","(1652.0, 865.0)"
"(159.0, 845.0)","(247.0, 637.0)","(378.5, 439.5)","(532.0, 274.0)","(736.0, 168.0)","(959.0, 147.0)","(1176.0, 194.0)","(1364.0, 301.0)","(1519.0, 458.0)","(1616.0, 659.0)","(1652.0, 864.0)"
"(158.0, 848.0)","(247.0, 636.0)","(378.0, 439.5)","(532.0, 275.0)","(735.0, 168.0)","(956.0, 147.5)","(1177.0, 194.0)","(1365.0, 301.0)","(1519.0, 458.0)","(1616.0, 661.0)","(1651.0, 864.0)"
"(159.0, 846.0)","(247.0, 636.0)","(378.5, 439.0)","(532.0, 274.0)","(735.0, 168.0)","(958.0, 147.0)","(1175.0, 194.0)","(1364.0, 302.0)","(1519.0, 458.0)","(1617.0, 659.0)","(1651.0, 864.0)"
"(159.0, 848.0)","(247.0, 636.0)","(379.5, 437.0)","(532.0, 274.0)","(736.0, 168.0)","(959.0, 147.0)","(1177.0, 193.5)","(1364.0, 300.0)","(1520.0, 458.0)","(1616.0, 659.0)","(1650.0, 864.0)"
"(159.0, 848.0)","(248.0, 636.0)","(379.5, 438.0)","(532.0, 275.5)","(735.0, 168.5)","(959.0, 147.5)","(1177.0, 194.0)","(1365.0, 301.0)","(1520.0, 458.0)","(1615.0, 659.5)","(1650.0, 864.0)"
"(159.0, 848.0)","(247.0, 636.0)","(379.5, 439.0)","(532.0, 275.0)","(735.0, 169.0)","(958.0, 147.5)","(1175.0, 194.0)","(1363.0, 302.0)","(1520.0, 458.0)","(1614.0, 659.5)","(1650.0, 865.0)"
"(159.0, 848.0)","(247.0, 635.0)","(379.5, 439.0)","(533.0, 275.0)","(735.0, 168.5)","(958.0, 147.0)","(1177.0, 194.0)","(1363.0, 301.0)","(1518.0, 458.0)","(1615.0, 660.0)","(1651.0, 864.0)"
"(159.0, 848.0)","(247.0, 636.0)","(379.5, 439.0)","(532.0, 276.0)","(735.0, 169.0)","(958.0, 147.0)","(1175.5, 194.0)","(1363.0, 301.0)","(1518.0, 458.0)","(1614.0, 660.0)","(1652.0, 864.0)"
"(159.0, 848.0)","(247.5, 635.0)","(379.5, 438.0)","(532.0, 276.0)","(735.0, 169.0)","(959.0, 147.0)","(1176.0, 194.0)","(1363.0, 302.0)","(1518.0, 458.0)","(1615.0, 660.0)","(1652.0, 864.0)"
"(159.0, 848.0)","(247.5, 635.0)","(379.5, 438.0)","(532.0, 276.0)","(735.0, 169.0)","(959.0, 147.0)","(1176.0, 194.0)","(1363.0, 302.0)","(1518.0, 458.0)","(1615.0, 660.0)","(1652.0, 864.0)"
"(159.0, 848.0)","(248.5, 636.0)","(380.0, 438.0)","(533.0, 274.5)","(736.0, 169.5)","(959.0, 147.5)","(1175.5, 194.0)","(1363.0, 303.0)","(1518.0, 458.0)","(1615.0, 660.0)","(1652.0, 864.0)"
"(159.0, 847.0)","(247.5, 635.0)","(379.0, 438.0)","(532.5, 275.0)","(734.0, 169.5)","(956.0, 148.0)","(1175.0, 193.0)","(1363.0, 303.0)","(1519.0, 458.0)","(1615.0, 659.0)","(1651.0, 865.0)"
"(159.0, 847.0)","(247.5, 635.0)","(379.0, 438.0)","(532.0, 274.0)","(734.0, 168.5)","(956.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.0)","(1519.0, 458.0)","(1615.0, 659.0)","(1651.0, 864.0)"
"(159.0, 847.0)","(247.5, 635.0)","(379.0, 438.0)","(532.5, 275.0)","(732.5, 168.0)","(956.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.0)","(1519.0, 458.0)","(1615.0, 659.0)","(1650.0, 863.5)"
"(159.0, 846.0)","(247.5, 635.0)","(379.0, 437.0)","(533.0, 274.0)","(734.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.5)","(1519.0, 458.0)","(1615.0, 659.0)","(1651.0, 864.5)"
"(159.0, 846.0)","(247.5, 636.0)","(379.0, 437.0)","(533.0, 274.0)","(735.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1362.0, 302.0)","(1519.0, 458.0)","(1615.0, 659.0)","(1650.5, 863.0)"
"(159.0, 846.0)","(247.5, 636.0)","(379.0, 437.0)","(532.5, 274.0)","(735.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1362.0, 301.0)","(1518.0, 458.0)","(1615.5, 659.0)","(1650.5, 863.0)"
"(159.0, 846.0)","(248.0, 637.0)","(379.0, 437.0)","(532.5, 274.0)","(735.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.0)","(1518.0, 458.0)","(1616.0, 658.0)","(1650.5, 863.0)"
"(159.0, 846.0)","(247.0, 636.0)","(379.0, 437.0)","(532.5, 274.0)","(735.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.0)","(1519.0, 458.0)","(1615.5, 658.0)","(1650.5, 863.0)"
"(159.0, 846.0)","(247.0, 637.0)","(379.0, 437.0)","(532.5, 274.0)","(735.0, 168.0)","(955.0, 147.0)","(1177.0, 193.0)","(1363.0, 302.0)","(1519.0, 458.0)","(1616.0, 658.0)","(1650.0, 863.0)"
"(159.0, 846.0)","(247.0, 637.0)","(379.0, 437.0)","(532.5, 274.0)","(734.0, 168.0)","(957.0, 147.0)","(1176.0, 193.0)","(1363.0, 302.0)","(1519.0, 458.0)","(1616.0, 658.0)","(1650.0, 863.0)"
"(159.0, 846.0)","(247.0, 637.0)","(379.0, 437.0)","(532.0, 274.0)","(734.0, 168.0)","(959.0, 147.0)","(1176.5, 193.0)","(1364.0, 302.0)","(1518.0, 458.0)","(1616.5, 659.0)","(1652.0, 864.0)"
"(159.0, 845.0)","(246.0, 636.0)","(379.0, 437.0)","(532.0, 274.0)","(734.0, 168.0)","(958.0, 147.0)","(1176.5, 193.0)","(1364.0, 302.0)","(1518.0, 459.0)","(1616.5, 658.0)","(1652.0, 864.0)"
"(159.0, 845.0)","(247.0, 637.0)","(379.0, 437.0)","(532.0, 274.0)","(734.0, 168.0)","(956.0, 147.0)","(1176.5, 193.0)","(1364.0, 302.0)","(1518.0, 459.0)","(1617.0, 658.0)","(1652.0, 864.0)"
"(159.0, 845.0)","(247.0, 636.5)","(379.0, 437.0)","(532.0, 273.0)","(733.0, 168.0)","(956.0, 147.0)","(1176.5, 194.0)","(1364.0, 303.0)","(1517.0, 458.0)","(1616.0, 659.0)","(1652.0, 864.0)"
"(158.0, 845.0)","(246.0, 637.0)","(379.0, 437.0)","(532.0, 273.0)","(734.0, 168.0)","(956.0, 147.0)","(1174.5, 194.0)","(1364.0, 303.0)","(1517.0, 458.0)","(1616.0, 659.0)","(1652.0, 862.0)"
"(158.0, 846.0)","(246.0, 638.0)","(379.0, 438.0)","(532.0, 274.0)","(733.0, 169.0)","(957.0, 149.0)","(1176.0, 196.0)","(1364.0, 303.0)","(1519.0, 460.0)","(1615.0, 658.0)","(1651.0, 865.0)"
"(159.0, 844.0)","(246.0, 637.5)","(379.5, 438.0)","(531.5, 274.0)","(735.0, 169.0)","(956.0, 147.0)","(1176.0, 195.0)","(1363.0, 302.0)","(1518.0, 459.0)","(1615.0, 658.0)","(1651.0, 864.0)"
"(159.0, 844.0)","(246.0, 637.0)","(379.5, 437.0)","(531.0, 273.0)","(735.0, 168.0)","(959.0, 147.0)","(1176.0, 193.0)","(1363.0, 301.0)","(1519.0, 459.0)","(1615.0, 657.0)","(1651.0, 865.5)"
"(159.0, 844.0)","(246.0, 637.0)","(379.0, 437.0)","(531.0, 274.0)","(735.0, 168.5)","(956.0, 147.0)","(1175.0, 194.0)","(1364.0, 302.0)","(1519.0, 459.0)","(1615.0, 659.0)","(1651.0, 866.0)"
"(159.0, 845.0)","(246.0, 637.5)","(379.0, 436.0)","(531.0, 275.0)","(735.0, 168.5)","(958.0, 147.0)","(1175.0, 194.0)","(1364.0, 302.0)","(1518.0, 459.0)","(1615.0, 659.0)","(1651.0, 865.0)"
